Model Year,Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Fuel Consumption City (kWh/100 km),Fuel Consumption Hwy (kWh/100 km),Fuel Consumption Comb (kWh/100 km)
2021,Manufacturer_11,Model_95,COMPACT,1.0,3,M,Regular Gasoline,7.3,4.9,6.2,140,8,9,,,
2021,Manufacturer_9,Model_26,COMPACT,1.0,8,A,Regular Gasoline,7.2,4.8,6.1,136,8,10,,,
2021,Manufacturer_12,Model_55,COMPACT,1.6,6,AM,Regular Gasoline,7.7,5.0,6.5,147,8,5,,,
2022,Manufacturer_6,Model_45,COMPACT,1.2,6,A,Regular Gasoline,7.7,5.1,6.5,141,8,10,,,
2022,Manufacturer_14,Model_81,COMPACT,1.5,6,M,Regular Gasoline,7.9,5.4,6.8,150,7,6,,,
2022,Manufacturer_2,Model_30,COMPACT,1.7,3,AM,Regular Gasoline,7.2,4.8,6.1,131,8,7,,,
2023,Manufacturer_11,Model_35,COMPACT,1.5,3,M,Regular Gasoline,7.8,5.2,6.6,143,8,5,,,
2023,Manufacturer_15,Model_82,COMPACT,1.5,4,M,Regular Gasoline,7.3,5.1,6.3,135,8,8,,,
2023,Manufacturer_6,Model_52,COMPACT,1.8,6,A,Regular Gasoline,7.7,5.2,6.6,138,8,6,,,
2024,Manufacturer_8,Model_51,COMPACT,1.9,8,A,Regular Gasoline,7.6,5.5,6.7,143,8,7,,,
2024,Manufacturer_7,Model_75,COMPACT,1.1,8,AM,Regular Gasoline,7.7,5.4,6.7,151,7,6,,,
2024,Manufacturer_14,Model_15,COMPACT,2.0,4,M,Regular Gasoline,7.2,5.0,6.2,140,8,5,,,
2021,Manufacturer_5,Model_71,COMPACT,1.6,3,M,Diesel,6.3,4.5,5.5,99,9,4,,,
2021,Manufacturer_2,Model_38,COMPACT,1.7,8,A,Diesel,6.4,4.3,5.5,100,8,10,,,
2021,Manufacturer_13,Model_23,COMPACT,1.0,3,M,Diesel,6.5,4.7,5.7,107,8,7,,,
2021,Manufacturer_3,Model_70,COMPACT,1.8,3,M,Diesel,6.4,4.3,5.5,98,9,8,,,
2021,Manufacturer_13,Model_40,COMPACT,1.5,4,A,Diesel,6.1,4.2,5.2,98,9,6,,,
2021,Manufacturer_2,Model_98,COMPACT,1.9,4,A,Diesel,6.7,4.4,5.7,102,8,10,,,
2021,Manufacturer_4,Model_70,COMPACT,1.9,4,M,Diesel,6.2,4.4,5.4,98,9,7,,,
2021,Manufacturer_8,Model_16,COMPACT,1.4,4,A,Diesel,6.5,4.5,5.6,105,8,4,,,
2022,Manufacturer_2,Model_91,COMPACT,1.3,3,A,Diesel,6.4,4.3,5.5,96,9,4,,,
2022,Manufacturer_11,Model_63,COMPACT,1.9,4,M,Diesel,6.6,4.3,5.6,98,9,5,,,
2022,Manufacturer_8,Model_53,COMPACT,1.7,4,A,Diesel,6.6,4.7,5.7,100,8,4,,,
2022,Manufacturer_1,Model_87,COMPACT,1.7,3,A,Diesel,6.3,4.4,5.4,101,8,9,,,
